Title,DOI,Article Type?,Year ,Courses:,keyword themes,Inclusive Teaching  included?,Inclusive Teaching Description,Word Count of Inclusive Teaching?,,,Notes,,
"What is Speciation, How Does It Occur, and Why Is It Important for Conservation?",https://doi.org/10.24918/cs.2020.28,Lesson,2020,"Ecology, Genetics, Introduction Biology, Science Process Skills ","Evolution, conservation, Genetic Drift, Speciation, Natural Selection, Biological species concept, gene flow, Morphological species concept, Phylogenetic species concept",Yes,"This lesson contains a diverse array of inclusive active-learning strategies that help to build classroom community. When participating in these activities, students work collaboratively in small groups (of 3-5 students that they select) on several formative assessments, which provides them with the opportunity to make their voices heard, draw on each other's strengths, and assist each other with data interpretation (47). The small group questions are either discussed as an entire class or asked about in follow up clicker questions (Supporting File S1. Speciation and Conservation – Presentation Slides with Instructor Notes; Supporting File S2. Speciation and Conservation – Discussion After Application Worksheet Activity). Students earn points for participating in the clicker questions and are not scored based on selecting the correct answer. This grading policy supports the message that students should think about the questions and get help when they are incorrect, rather than worry about the grade. More information about using this scoring scheme can be found in a recent review about using clicker questions in biology courses (48). For the summative assessment, we employed a two-stage exam design (49,50) at the end of the semester, where students first answer the questions as individuals, turn in their individual answers, and then work in small randomly-assigned groups to answer the questions again. The group part inspired lively discussions where students explain their thinking and provided each other with immediate feedback.

We also designed the lesson to emphasize diverse perspectives and frame speciation in a way that endeavors to be both relevant and engaging. Before the start of the lesson, students are asked to submit photos of animals that are symbolically significant to their own cultures or identities, which are then incorporated into the lecture slides (Slide 13 of Supporting File S1. Speciation and Conservation – Presentation Slides with Instructor Notes). This assignment has several potential benefits, including that students feel valued in seeing their chosen animal represented on the slide and learn about their peers' backgrounds. To build upon this personal investment, we focused our lesson around the giraffe, which invites strong public engagement from communities and conservationists across the globe.

To be mindful of students who may have a color vision deficiency, we carefully designed the figures in the slides (Supporting File S1. Speciation and Conservation – Presentation Slides with Instructor Notes; Supporting File S2. Speciation and Conservation – Discussion After Application Worksheet Activity) to be distinct in terms of color and shape and tested them through a colorblindness simulator (https://www.color-blindness.com/coblis-color-blindness-simulator/).

Students are also exposed to scientists from diverse backgrounds throughout the lesson (e.g., Slides 21, 97, and 98 of Supporting File S1. Speciation and Conservation – Presentation Slides with Instructor Notes). These scientists differ in terms of age, ethnicity, gender, geographical location, and academic/professional backgrounds. Our goal here is to break down societal barriers to inclusion in science by promoting the message that there are multiple paths to becoming a scientist (51).

Students' socioeconomic diversity was also an important consideration in our lesson design; students are not required to purchase any textbooks or other supplementary materials to successfully participate in the lesson. Moreover, all formative and summative assessment questions that accompany this lesson are derived from the lecture slides and in-class activities.",531,,,,,
Starting Conversations About Discrimiation Against Women in STEM ,https://doi.org/10.24918/cs.2020.29,Lesson,2020,professional development and career planning,"identity, racism, gender discrimination, intersectionality, microaggressions, sexism, sexual assault and harrassment, trolling",Yes,"Each attendee has a worksheet (Supporting File S1. Discrimination Against Women – Worksheet and Case Studies) to help structure their free writes and to follow the conversation. Everyone in the discussion reads a case study and reflects on it on their own. Then, participants discuss their case study in small groups, which allows participants to reflect on their own social identities and experiences, as well as those of others.

Each group works together to choose someone who can share details of their discussion with the whole audience.  If time allows, there are also reflection questions at the end of the discussion that each individual can answer.
",105,,,,,
Sorry to Eat and Run: A Lesson Plan for Testing Trade-off in Squirrel Behavior Using Giving Up Densities (GUDs),https://doi.org/10.24918/cs.2020.30,Lesson,2020,"Ecology, Evolution ","ecology, animal behavior, Animal form and function, Animal nutrition,1 Squirrel-Net",Yes,"This lesson contains a diverse array of inclusive active-learning strategies that help to build classroom community. When participating in these activities, students work collaboratively in small groups (of 3-5 students that they select) on several formative assessments, which provides them with the opportunity to make their voices heard, draw on each other's strengths, and assist each other with data interpretation (47). The small group questions are either discussed as an entire class or asked about in follow up clicker questions (Supporting File S1. Speciation and Conservation – Presentation Slides with Instructor Notes; Supporting File S2. Speciation and Conservation – Discussion After Application Worksheet Activity). Students earn points for participating in the clicker questions and are not scored based on selecting the correct answer. This grading policy supports the message that students should think about the questions and get help when they are incorrect, rather than worry about the grade. More information about using this scoring scheme can be found in a recent review about using clicker questions in biology courses (48). For the summative assessment, we employed a two-stage exam design (49,50) at the end of the semester, where students first answer the questions as individuals, turn in their individual answers, and then work in small randomly-assigned groups to answer the questions again. The group part inspired lively discussions where students explain their thinking and provided each other with immediate feedback.

We also designed the lesson to emphasize diverse perspectives and frame speciation in a way that endeavors to be both relevant and engaging. Before the start of the lesson, students are asked to submit photos of animals that are symbolically significant to their own cultures or identities, which are then incorporated into the lecture slides (Slide 13 of Supporting File S1. Speciation and Conservation – Presentation Slides with Instructor Notes). This assignment has several potential benefits, including that students feel valued in seeing their chosen animal represented on the slide and learn about their peers' backgrounds. To build upon this personal investment, we focused our lesson around the giraffe, which invites strong public engagement from communities and conservationists across the globe.

To be mindful of students who may have a color vision deficiency, we carefully designed the figures in the slides (Supporting File S1. Speciation and Conservation – Presentation Slides with Instructor Notes; Supporting File S2. Speciation and Conservation – Discussion After Application Worksheet Activity) to be distinct in terms of color and shape and tested them through a colorblindness simulator (https://www.color-blindness.com/coblis-color-blindness-simulator/).

Students are also exposed to scientists from diverse backgrounds throughout the lesson (e.g., Slides 21, 97, and 98 of Supporting File S1. Speciation and Conservation – Presentation Slides with Instructor Notes). These scientists differ in terms of age, ethnicity, gender, geographical location, and academic/professional backgrounds. Our goal here is to break down societal barriers to inclusion in science by promoting the message that there are multiple paths to becoming a scientist (51).

Students' socioeconomic diversity was also an important consideration in our lesson design; students are not required to purchase any textbooks or other supplementary materials to successfully participate in the lesson. Moreover, all formative and summative assessment questions that accompany this lesson are derived from the lecture slides and in-class activities. Squirrel-Net modules in general are designed to provide all students in a class with the opportunity to engage in authentic research experiences. Participating in CUREs, like Squirrel-Net, has been shown to have significant impacts on students' sense of self-efficacy as a scientist and may promote retention in science, particularly for students from under-represented groups (20). One unique element of this CURE is the use of the national network, which we believe will further help students feel as though they are making important contributions and belong to a broader scientific community beyond their specific classroom or institution (21).

Depending on how the instructor implements this activity, there are numerous opportunities for active learning techniques such as multiple-hands, multiple-voices, think-pair-share, and whip arounds, each of which provide a less-intimidating opportunity for all students to contribute their voice to the discussion (22). We have also used jigsaw to dissect primary literature articles (e.g., 4-9) related to the activity. This can be done separately in a 50-minute lecture period or a shorter version can be incorporated into the first lab instead of the prompt we recommend in the lesson plan. Finelli et al. (23) provide an excellent lesson on how to use a jigsaw with primary literature.

",733,,,,,
Life Is Just a Game: An Active Learning Activity to Teach Life History Evolution,https://doi.org/10.24918/cs.2020.31,Lesson,2020,"Ecology, Evolution ","Evolution, life history, trade-offs, diversity, Natural Selection",Yes,"These activities are designed to engage all students in the class to actively participate in both discussion and the activities. Because all students are actively engaged in the learning process, discussing their observations and thoughts in pairs, all students in the classroom will have opportunities to engage with and discuss the material, and the instructor can circulate and converse with students one-on-one and in small groups to ensure that all members of the class are included in the lesson and understand.",81,,,,,
Using Images of Foraging Leaf-Cutter Ants to Teach Linear Regression,https://doi.org/10.24918/cs.2020.32,Lesson,2020,"Ecology, Introduction Biology, Science Process Skills","linear regression, experimental design, Plant-insect interactions, Symbiosis, Foraging behavior",Yes,"An accessible “indoor” field experience

This computer-based lesson gives classes/courses who are unable to go into the field because of geographic, budgetary, medical/health, time, or seasonal/weather constraints the opportunity to collect meaningful ecological data.

Emphasis on visuals

Images and videos are powerful tools for engaging student interest. However, the visual nature of the lesson does place unfortunate limitations on the value for students with visual impairments. Many image analysis tasks done manually require careful mouse-work to delineate shapes or lengths on a screen. Thus, as written, the lesson is not well-suited for students with visual impairments.

There are modifications that could improve accessibility and benefit all students by providing other ways of encoding and interpreting visual information. By its nature, image analysis turns visual information into quantitative information - numerical measurements of lengths, areas, color intensities, etc. Providing numerical metrics of visual properties of biological specimens could help students with visual impairments experience specimens (via screen readers, sonification systems, etc.) that would otherwise be unavailable, and may benefit all students by providing multiple ways of representing or encoding the information.

Interestingly, image analysis is often automated to improve speed, accuracy, and repeatability (15). A lesson that focused on image analysis automation could teach valuable real-world skills and open up participation to more students (e.g., students in computer science courses).

Group work

Group work, when managed well by the instructor, can provide an environment where the diverse assets of students yield a better product than any individual student could have created themselves. Facilitating productive collaboration can be challenging, though, and requires active strategies of the instructor. Below are some approaches we have used successfully. We encourage instructors to choose strategies they believe will be effective to ensure equal and active participation among their students (see 16-17 for more ideas).

Gather ideas from all group members

When groups need to pick a research question, some students will be more willing to share initial ideas than others. Give students time to think about and make a list of possible research questions before they form groups. Once they are in groups, ask students to exchange lists and read each other's ideas aloud.

Have students work individually first

Although students work on most of this lab in groups, they complete the regression assignment (Supporting File S9. Leaf-cutter ants – Regression practice sheet) individually. Providing time for students to think through and write out their answers before discussing with group members helps students clarify what they understand and what they have questions about.

Diversify group skillsets

We find that when groups are heterogeneous with regards to Excel proficiency, they tend to troubleshoot technical issues internally instead of waiting for help from the instructor. This is desirable, as it encourages students to help each other and builds community.

Make group members accountable to each other (and to you!)

Two goals of this activity are to help all students become more comfortable creating scatterplots and performing linear regressions. These goals cannot be accomplished if one group member makes the scatterplot or runs the analysis while the other(s) sit passively. Tell students you expect them to actively contribute to every component of the module. For example, if one student is creating a scatterplot, their group members should be reviewing online tutorials or proofreading the graph. One strategy to keep group members accountable is to require students to write and turn in a log of the specific tasks they complete. Group members should review and sign one another's logs before submission. Another strategy is to require students to complete anonymous peer evaluations at the end of each lab.

",583,,,,,
The Comics Project: Synthesizing and Communicating Science with Comics,https://doi.org/10.24918/cs.2020.33,Lesson,2020,"Introduction Biology, Science Process Skills ","communicating science Science & Society, comics",Yes,"The Comics Project is an opportunity for students to exercise choice in their learning, following their own interests to explore socio-scientific issues that pique their curiosity. Student projects can represent a broad range of topics depending on instructor guidelines and curricular needs.

The development and presentation of a comic encourages students to use visual communication rather than rely on words alone to clearly communicate science. Visual communication is an important strategy to engage the bilingual Deaf community in science (19). Visual communication is also useful for students who are English language learners and for students with disabilities.

Additionally, scientific information is often inaccessible due to journal pay walls and unfamiliar scientific jargon. Comics told in everyday language with compelling illustrations make science accessible and relevant to a larger audience.

",127,,,,,
Online Adaptation of the Cell Engineer/Detective Lesson,https://doi.org/10.24918/cs.2020.34,Essay,2020,Introduction Biology,"cell function, Cell Structure, Organelles",No,,,,,,,
Using student perceptions and cooperative learning to unpack primary literature on global change,https://doi.org/10.24918/cs.2020.35,lesson,2020,ecology,"global change, anthropocene, earth-system, planetary boundary concept, thresholds",Yes,"Students who complete this lesson explicitly hold different perceptions of how human activity has changed various earth system processes and the degree to which humans can safely alter these processes without crossing biophysical thresholds. Such perceptions would be difficult to draw out particularly in a large-enrollment course without purposeful opportunities to promote students' sense of belonging and self-efficacy (14,15). In this lesson, these perceptions are illustrated in the first component of the assignment and used to determine three planetary boundaries that groups summarize in class. This activity thereby encourages students both to consider how others' perceptions might differ in regards to a given planetary boundary and the degree to which others' perceptions and their own align with our current scientific understanding.

The class sessions in which this lesson takes place, are designed to promote participation of all students in several ways. First, a student response system (Kahoot!) was used to ask where students placed the safe operating space for humanity prior to reading the paper (Supporting File S2. Perceptions and Cooperative Learning – Reading Assurance Assignment and In-Class Polling Questions). Students answered this question using personal accounts that were established at the beginning of the semester to facilitate in-class participation during all class sessions. Responses are then made visible to the entire class and used to frame instructions for the in-class group assignment. This question is used to give instructors a sense of the variability in responses that students will be discussing and serves as a transition between a short introductory lecture and the collaborative group activity. The instructor and teaching assistants circulate among the groups to ensure that discussion time is equally shared. Timing prompts can also be given to ensure each member of the group has an equal time to share their predictions prior to compiling group results and discussing the paper. In addition, we recommend that the instructor require each group to appoint a student to be a discussion moderator to ensure equal participation of all group members; this is particularly critical in large-enrollment courses in which instructor access to each group is limited by seat arrangement. To complete guided discussion questions (Supporting File S5. Perceptions and Cooperative Learning – Discussion and Assessment Questions), we suggest first having students perform a Think-Pair-Share and then reconvene as a 4-member group to develop answers to each question. The instructor can then call on groups randomly and/or call on specific groups that arrive at particular answers to each question for the full class discussion. Having students complete both formative assessments through use of the guided discussion questions and summative assessments (Supporting File S5. Perceptions and Cooperative Learning – Discussion and Assessment Questions) encourages students to engage with their peers and the material both in and out of class.
",457,,,,,
"Modeling Strep Throat Detection, Infection, and Spread Using an SIR Model and the Vensim Simulation Software",https://doi.org/10.24918/cs.2020.36,Lesson,2020,"Cell Biology, Immunology, Introduction Biology, Microbiology ","infectious disease, biological modeling, SIR model",Yes,"The lesson is amenable to discussions about equity in health care. For instance, the instructor can ask students to model what happens if those infected are not isolated or treated because they lack health care and/or work benefits such as paid sick leave.",43,,,,,
Integrating Manipulatives and Animations to Visualize Holliday Junctions,https://doi.org/10.24918/cs.2020.37,Lesson,2020,Biochemistry and Molecular Biology ,"dna structure, DNA damage, DNA recombination, Gene crossover, Holliday junction",Yes,"This lesson is explicitly designed to augment the static images from the required textbook. The activity utilizes all five forms of representations as described by Gilbert (1): concrete, verbal, symbolic, visual, and gestures: (1) The three-dimensional manipulative model of the Holliday junction is concrete; (2) multiple opportunities are provided for students to describe what the model and what is happening at every step of Holliday junction resolution; (3) symbolic molecular representations are interpreted when students compare the manipulative to crystal structure models of DNA; (4) multiple visual representations, including crystal structure images, schematics, and the three-dimensional manipulative, provide a variety of visual approaches to the same system; (5) students use a variety of gestures to physically manipulate the three-dimensional model to create the different structures that exist in the Holliday junction.

This activity will leverage diversity within the classroom by encouraging every student to provide their perspective on how the molecules are structured and how they are changing. In particular, the color-coded chenille stems that are described here are highly adaptable for differently-abled students, including varying color combinations for dichromats and trichromats, or using differently-textured stems for visually-impaired students. These activities have been successfully integrated with professional online animations that are expertly narrated, and multiple problem sets allow study and practice at multiple learning paces.

",214,,,,,
Understanding Gastric Acid Secretion: An Active Learning Approach,https://doi.org/10.24918/cs.2020.38,Lesson,2020,Anatomy-Physiology ,"disease, signal transduction, Acid Secretion, Autonomic Nervous System, Endocrine, Gastric Physiology, GPCR, Histology of Gastric Pit",Yes,"This lesson is interactive, tasking students to work together to link, locate, and define structures within the GI system. The cooperative nature inherent in the small group format may increase student engagement, leading to an increase in learning gains (4). Further, because the activities rely on a visual-spatial element (drawing), students may see an increase in information recall compared to more conventional methods (5). Throughout the lesson, students are tasked with drawing (a concrete experience) as well as interpreting and assessing scientific data. In our course, as in most A&P courses at this level, some of the content introduced by the activity (e.g., the pharmacology) is novel to students. This should place students on equal footing at the beginning of the activity, and prevent prior knowledge from life or academic experience from giving certain students an advantage over their peers. Moreover, the reflective questions included in the case study have students look at ethnic variations in ulcer susceptibility, as well as the intersection of health and socioeconomic status (e.g., an ulcer patient without health insurance might rely more on less efficacious over-the-counter treatments like antacids, whereas someone with health insurance would presumably have access to proton pump inhibitors, calcium channel blockers, and antibiotics).

",203,,,,,
Expanding the Reach of Crop Plants for Food Security: A Lesson Integrating Non-Majors Students Into the Discussion of Food Diversity and Human Nutrition,https://doi.org/10.24918/cs.2020.39,Lesson,2020,Plant Biology,"cereal grain, crop diversity, crop yield, global food system, human nutrition, nutrient quality, pseudocereal grain, staple crop, underutilized crop",Yes,"Our lesson used crops that have historical connections to several different regions around the globe and that can be found on shelves of some grocery stores. As such, the discussion was amenable to the personal experiences of individuals from a multitude of backgrounds. In our discussion, student inputs from Central American, South American, and Asian cultural contexts were included to great effect. Alongside of that, inputs from other students that had consumed products made from teff, chia, and quinoa were woven into the discussion as well. While surveying discussions taking place around the classroom, we noticed parallel themes from other crops (e.g., kale, avocado, and maize) emerging in conversation as well.

In terms of instructor practices, involvement of a broader group of individuals was encouraged. During breakout group discussions, the instructor and the teaching assistant served both to stimulate discussion of quieter groups and to motivate involvement of more students in the breakout discussions. Also, though the whole-class discussion was guided mostly by about a dozen group reporters, both the instructor and the teaching assistant called upon students that were found to have novel inputs from the breakout discussion to give them an opportunity to showcase their ideas.",197,,,,,
Using Musical Instruments to Model Negative Feedback in the Hypothalamo-Pituitary-Target Gland Axes,https://doi.org/10.24918/cs.2020.40,Lesson,2020,Anatomy-Physiology ,"cell-cell communication, homeostasis, negative feedback",Yes,"This role-play addresses issues of diversity and lack of participation by providing multiple means of representation (visual, auditory, and kinesthetic) (11) and allowing students to choose between multiple modes of involvement (6). Students volunteering to enact a particular role participate physically. The remainder of the class participates cognitively, by participating in support groups that predict how the simulation will proceed under various circumstances, and then provide advice to the actors as to who does what and when. The actors can, of course, participate both cognitively and physically, but the involvement of their support group can lessen performance anxiety. Visually and hearing-impaired students can fully participate in this activity, which uses noises generated by percussion instruments to represent output. All students will benefit by ensuring that the performers exaggerate the movements used to create the noises and are clearly visible. Moreover, support groups should be encouraged to provide their advice in an auditory, as well as visual, fashion.

",157,,,,,
A Hybrid Virtual Kinesiology Laboratory Module for Human Anatomy and Physiology,https://doi.org/10.24918/cs.2020.41,Lesson,2020,Anatomy-Physiology ,"kinesiology, exercise physiology, Anaerobic Respiration, Maximum Oxygen Consumption, Muscular System, Virtual Anatomy, Wingate Test",Yes,"This hybrid laboratory module incorporates diversity, equity, and inclusion of students in a variety of ways. This lesson captures the diversity of biological sex by including data from males and females. This lesson also invokes a number of multiple intelligences (69) among a cohort of diverse learners. This lab specifically appeals to students' visual-spatial, bodily-kinesthetic, logical-mathematic, verbal-linguistic, interpersonal, and intrapersonal abilities. For students, such capabilities expressed in the lab can extend beyond the scope of the course and into real-world interactions. The hybrid nature of this lab also appeals to differing student mindsets. This laboratory module is a hybrid virtual module in the sense that it incorporates the use of a virtual dissector table as well as traditional laboratory exercises. In addition, this module embraces the essence of hybrid learning because students can access its pre-lab reading material online via email or an instructional online learning management (OLM) interface such as Canvas or Blackboard. This pre-lab reading assignment also contains embedded YouTube and Khan Academy videos that allow the students to explore web-based, digital content in addition to electronic text.

As the promotion of diversity and inclusion within many institutions in the United States has become increasingly paramount, many organizations and social entities are encouraged to adopt standards or policies that celebrate the diversity of their members while also fostering inclusive environments in which all members feel like part of a cohesive team. Such diversity and inclusion standards can be established for professional societies, degree programs, and even anatomy and physiology classes (70). For example, in this particular module, instructors have the opportunity to discuss occupational diversity (70) in the context of an anatomy and physiology course. Students in the course will ultimately decide to pursue different occupations/career paths which in turn can influence the level of interest a student may have in a particular topic covered in the course. The interested students can then help to motivate other students based on their enthusiasm and excitement for the topic. This module should particularly appeal to those students interested in occupational therapy, physical therapy, or exercise science since many of the concepts regarding kinesiology and biomechanics are highly relevant to these fields. Instructors could offer at the beginning of the lesson a quick explanation of why the lab module concepts are pertinent to these particular students and/or fields of study. Even if there are no students in the course who intend to become occupational or physical therapists, instructors can discuss how the content pertaining to skeletal muscle anatomy would also be revisited in greater detail in medical, dental, nurse anesthesia, physician assistant, or other anatomy-relevant curricula. Moreover, exposure to this content and its career correlations may allow students an opportunity to consider such relevant fields as professional options. Such exposure is especially important for under-represented populations including women, trans or gender non-conforming, or other underrepresented minority students since it might encourage these individuals to help diversify fields in which there is a paucity of members of their respective groups. For instance, physical therapy is a field often predominated by Caucasian men while occupational therapy is a field often predominated by Caucasian women; exposure to fields other than the stereotypical norms can help educate underrepresented students about a more diverse array of options to help them make the best decisions for themselves. On the other hand, some students might not intend to pursue any health-related careers. Nevertheless, instructors could discuss the relevancy of the concepts such as metabolism, homeostasis, maximal oxygen consumption, and anaerobic capacity to an understanding of basic health during physical exercise.

Since students are engaged in physical exercises during the lab module, instructors have the opportunity to emphasize the importance of physical exercise, in general, in people's daily lives. For instructors teaching in states that have higher healthcare disparities than normal, providing statistics from the National Center for Health Statistics (NCHS) regarding the state of health of their citizens (71) can be a powerful learning experience for providing awareness to students. (International readers can refer to their respective health institutions for similar data.) Such awareness can motivate students then to be advocates for healthier lifestyles among their colleagues, friends, families, and community members. This advocacy is also important even in states or regions that are predominated by healthy individuals because there may be some subsets of the population which lack healthy lifestyles due to a number of factors that can include limited access to healthy foods, lower socioeconomic status, reduced health literacy, or other social determinants of health (72,73). By creating an atmosphere of comradery around physical activity as a critical strategy for reducing health disparities and supporting healthy living (74,75), instructors can invite students into a learning community that is inclusive while also diverse. For example, instructors can support an atmosphere of comradery in this lab module by allowing the groups to challenge one another to see which group is the fittest. Alternatively, instructors could display on the walls posters that convey helpful tips for students to incorporate at least thirty minutes of exercise (e.g., walking, jogging, biking, etc.) into their daily routines and could provide encouraging and motivating words to stay healthy. Additionally, instructors could provide opportunities for students to create groups to support healthy lifestyles and hang photos of individuals of diverse backgrounds engaged in physical activities. Instructors can also provide encouraging words and highlight helpful tips during the exercise physiology component of the lab.

Instructors might also teach classes of anatomy and physiology in which students might have disabilities or injuries that prevent them from engaging in the exercise physiology lab activities. Students with disabilities provide another enriching opportunity for incorporating experiential diversity (70,76,77) into the class and creating a more inclusive environment. Instructors can make a number of decisions to accommodate students with disabilities or injuries. Instructors can simply allow such students to abstain from physical activity and work in close proximity with a partner within their lab group or perhaps even serve as the scribe for their lab group if they are able. If the students have the ability to perform alternative exercises (e.g., manually propelling their wheelchairs with their arms), instructors could also provide such students with the option of engaging in the lab activities under modified circumstances. Either way, instructors would consider the freedom of choice and the comfort of the students in this decision. Students who chose to abstain could be placed into a think-pair-share group with their assigned partner within their lab group. In a think-pair-share sequence, the students would have an opportunity to think or write about and discuss the biological concepts being explored in the lab activities (78,79). For instance, in this lab module, if there are students using wheelchairs, crutches, or some other assistive device for mobility, these students can be prompted to explain to their lab group partners how the same concepts of exhaustion and muscle fatigue can apply to situations in which they are rapidly rotating the wheels of their chair or moving their crutches with their arms, perhaps to rush somewhere quickly. In the communication exchange, students without disabilities could gain insights into the experiences of someone who cannot perform tasks that involve physical exertion, like pedaling on the stationary bicycle during the Wingate Test or running on the treadmill during the maximal oxygen consumption experiment, while also sharing their experiences as they perform the Wingate Test and running experiments. In this example, the students with disabilities are provided an equitable opportunity to engage in the lab activities by alternative means since they cannot perform the experiments in the same way that other students can, but they are also included in the conversation and learning experiences with the other students.

Instructors might even choose to adopt a think-pair-share policy for all students in the class to promote further inclusion and equity (79). Dr. Kimberly D. Tanner also provides a self-assessment of equitable teaching strategies in her article on promoting student engagement and cultivating classroom equity (79), so instructors might want to consult this tool when evaluating the inclusive nature of their own classroom. While this article addresses classroom teaching practices as a whole, many of these strategies can be incorporated into this lab module in addition to the think-pair-share technique. Because the students will already be actively participating in groups, instructors might consider ambulating the room and attending to each group periodically to ensure that all students are participating either in the activities or in discussion concerning the activities and that all students are provided fair access to learning, thinking, and teaching.

",1415,,,,,
A Lesson on Matter and Energy at the Organismal Scale: Linking Patterns and Processes Across Diverse Taxa,https://doi.org/10.24918/cs.2020.42,Lesson,2020,Introduction Biology ,"plants, energy, Animals, fungi, matter, organismal scale",Yes,"The course in which this lesson took place was centered on inclusive and equitable teaching practices. Many approaches were implemented to make the course more personal, structured, and engaging, in line with recommendations for building an inclusive environment suitable for all learners (21).

The design and delivery of curricular materials was based on evidence about student reasoning, and the impact of diverse backgrounds and prior experiences on learning. All classes incorporated collaborative group work conducted in small, permanent groups (3-4 students). The groups were engineered to be diverse in terms of students' prior coursework, majors, and demographic variables. Diverse groups were generated using the ""create_groups"" function in the R package 'minDiff' v. 0.01-3 (22). This function assigns students to N groups by minimizing (via 10,000 repetitions) the differences among groups for one or multiple criteria (e.g., prior biology courses, plan, demographic variables). The result is a set of group assignments in which students are heterogenous within groups and homogeneous among groups.

Each group was assigned to work with a UGTA who was responsible for formally documenting group progress and trying to understand thinking in order to foster learning. Each UGTA oversaw a maximum of 35 students. UGTAs were responsible for knowing students' names and seating locations and were able to identify when groups were in need of assistance. UGTAs were utilized to help the instructor gauge student engagement and identify topics that were difficult for students. UGTAs wore name tags and students were provided with name tents. The instructor made efforts to call students by their names in every class, both during small group conversations and during class-wide discussions. The instructor also used transparent and low-stakes ""cold calling"" to encourage engagement during activities and to foster the contribution of diverse student voices.

To appropriately prepare UGTAs for their important roles, they participated in 4.5 hours of workshops throughout the semester (focusing on cognition, engagement, and diversity) that sought to encourage inclusive teaching practices and a growth mindset. UGTAs were also prepared weekly with information about the upcoming activities, content, and learning difficulties they could expect to encounter.

",344,,,,,
A Remote Introductory Biology Lab Using Backyard Birdwatching to Teach Data Analysis and Communication,https://doi.org/10.24918/cs.2020.43,Lesson,2020,"Ecology, Introduction Biology ","ecology, data analysis, data collection",Yes,"This lab was designed to be completed by students individually due to the quarantine conditions in place when it was delivered. Content was made available online and video walk-through demonstrations of PivotTable implementation were presented with captions. Students were allowed to complete bird observations and the final project at any time during the weekly window to accommodate students in different time zones and with different living situations. Observations did not require the use of any equipment and it was not necessary for students to fully identify all bird species seen in order to accommodate those without binoculars or with visual impairments. To accommodate those students whose living environment did not include views of natural spaces, YouTube live video channels of bird feeders hosted by the Cornell Lab of Ornithology were recommended. Online bird identification resources were also recommended for those interested in pursuing bird identification further.",146,,,,,
Going Remote: An Online Adaptation to Using a Primary Cell Culture Model to Study the Neural Extracellular Matrix,https://doi.org/10.24918/cs.2020.44,Lesson,2020,"Cell Buology, Neurobiology","emote learning, Extracellular matrix, Neural extracellular matrix, Perineuronal net",Yes,"Since this experiment will be carried out remotely, the instructor should make sure that all students have access to computers, the internet, and any other software or technology that is needed. Some campuses are able to provide such equipment to students and instructors alike given the need for virtual learning and teaching. As it possible that not everyone has a dedicated and private workspace, the instructor should reassure the class that they do not need to use video, but instead can rely or audio or even just typing in a chat box.

I would recommend that students form their own discussion groups, just as they would if the experiment was conducted in person. This will provide a sense of familiarity and comfort, which is likely to be appreciated given the fact that the experiment is being carried out virtually.

In addition, when designing videos for the pre-lab lectures, the instructor should keep in mind that they should provide notes, audio, as well as video to accommodate students with disabilities. I also recommend following up individually with students to ensure that the material has been presented suitably.

Lastly, the instructor needs to make sure that the individualized feedback that the students receive on both of the formative assessments is thoughtful, constructive, and well-explained. Because the students do not have traditional face-to-face time, they will rely on this feedback to prepare their lab reports. In addition, the instructor should be open to suggestions or modifications from the students given the unconventional way of completing this experiment.

",251,,,,,
Lateral Transfer Maps as a Metacognitive Tool in First Year STEM Courses,https://doi.org/10.24918/cs.2020.45,Teaching Tools and Strategies ,2020,Professional Development and Career Planning,"concept map, metacognition, first-year student, transfer",Yes,"The Lateral Transfer Map is designed to be an individual activity that is open to all students, independent of academic background, identity, or major. As a result of doing this activity, students will be able to recognize and appreciate the contribution of the separate courses in the curriculum to one another and to their intended career, placing value not only on their STEM courses, but on their General Education courses as well. Through sharing their own experiences, students are exposed to the different perspectives of their peers, thus validating diverse perspectives and supporting contributions from other students. The use of LTM supports the development of metacognitive skills, particularly monitoring one's own learning. Aspects of identity, including being aware of ways in which learning and identity intersect, can be included in classroom discussions around the LTMs, especially if the assignment is expanded to include extracurricular activities (in addition to courses) or if a Longitudinal Transfer Map is done, which would include past learning as well as projected future learning needs. These metacognitive skills play an important role in the development of not just self-regulation of learning, but also self-efficacy (14). Developing these skills helps make classrooms more inclusive and supports the retention of students who might otherwise be excluded from STEM fields (15).",212,,,,,
A CRISPR/Cas Guide RNA Design In Silico Activity,https://doi.org/10.24918/cs.2020.46,Lesson,2020,"Biochemistry and Molecular Biology, Bioinformatics, Genetics, Cell Biology","bioinformatics, gene expression, genetic basis of disease, CRISPR/Cas9, genetic engineering, in silico",Yes,"This lesson involves inclusive teaching practices in several ways. It incorporates realistic human disease research scenarios where all students can visualize themselves as the scientist doing meaningful work. The format incorporates universal design for learning principles that improve access and learning opportunities for all students. It uses (or can be rapidly adapted to use) only materials and software that are available to students at no cost, which lowers access barriers for resource-limited students. Electronic materials can be read with a screen reader and the display modified. The structured lab notes guide students through expert thinking processes and resource management. The experiment summary lab report provides a suggested structured outline to guide information processing and offers opportunity for creativity in data presentation. The post-activity free response questions and conclusion section of the experiment summary lab report gives each student the opportunity for individual reflection, which supports metacognition and self-monitoring of learning. Additionally, the lesson is readily adaptable to asynchronous and online teaching using supporting materials resources provided.",166,,,,,
